origin,destination,path,path_count,path_frequency,path_frequency_within_od,total_count,od_frequency,actions_taken,rewards_per_step,total_return,highest_reward_index,highest_reward_value
0,206,0_330_338_154_174_364_178_179_208_236_238_392_393_396_204_206,1,0.0001016880211511084,0.5,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0)]","[0.11534099280834198, 0.6183170676231384, 0.5244211554527283, 0.667517364025116, 0.6515657305717468, 0.637377917766571, 0.23223547637462616, 0.07932516932487488, 0.6043018102645874, 0.0914139524102211, 0.6519066691398621, 0.7237933278083801, 0.5768781900405884, 0.13893887400627136, 0.2630297541618347]",6.576363451778889,12,0.7237933278083801
0,211,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1)]","[0.08376993238925934, 0.6669089198112488, 0.5733545422554016, 0.7715427875518799, 0.6164945960044861, 0.6341761350631714, 0.7417852878570557, 0.6482020616531372, 0.6716533303260803, 0.6946150064468384, 0.6627642512321472, 0.6806228756904602, 0.5971876978874207, 0.8426685929298401]",8.885746017098427,14,0.8426685929298401
0,231,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78_231,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6)]","[0.03257448226213455, 0.6610137224197388, 0.38850149512290955, 0.6875737905502319, 0.5889800786972046, 0.6739181876182556, 0.730805516242981, 0.6839442849159241, 0.550990879535675, 0.7063212990760803, 0.7005351781845093, 0.6257579922676086, 0.7040454149246216, 0.6302686333656311, 0.6937734484672546, 0.6631636023521423, 0.6169401407241821, 0.686518132686615, 0.7104116678237915, 0.657261073589325, 0.4961812198162079, 0.6570547819137573, 0.6632440686225891, 0.6050281524658203, 0.645195484161377, 0.6868391036987305, 0.7429283857345581]",16.889770217239857,27,0.7429283857345581
0,244,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_244,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(6)]","[0.05731741711497307, 0.713744580745697, 0.5609332323074341, 0.7998890280723572, 0.6352126598358154, 0.6566821336746216, 0.7584933042526245, 0.684202253818512, 0.6696509718894958, 0.7212047576904297, 0.6531014442443848, 0.6552168130874634, 0.6140118837356567, 0.642481803894043, 0.654522180557251, 0.6505990028381348, 0.36713212728500366]",10.494395595043898,4,0.7998890280723572
0,252,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0)]","[0.06698731333017349, 0.7128003835678101, 0.5610988736152649, 0.7868622541427612, 0.6349862813949585, 0.649253785610199, 0.7498003840446472, 0.6779120564460754, 0.6709058284759521, 0.7077207565307617, 0.6511029005050659, 0.6603389382362366, 0.612116277217865, 0.667731761932373, 0.6577391624450684, 0.723739743232727]",10.19109670072794,4,0.7868622541427612
0,334,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_340_32_310_387_339_273_386_262_265_334,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(7), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(7), np.int64(7), np.int64(0)]","[0.014525191858410835, 0.6524854898452759, 0.28578945994377136, 0.6481437087059021, 0.4898892939090729, 0.6400059461593628, 0.6953727006912231, 0.713505208492279, 0.3947280943393707, 0.6700143218040466, 0.7040942907333374, 0.5595475435256958, 0.6441059112548828, 0.4980024993419647, 0.7068987488746643, 0.616676926612854, 0.5388718247413635, 0.6202080249786377, 0.6667202711105347, 0.5962412357330322, 0.4828651547431946, 0.6429362297058105, 0.6327280402183533, 0.7403387427330017, 0.6661106944084167, 0.5625385046005249, 0.6701892018318176, 0.2382138967514038, 1.144136905670166, 0.7320591807365417]",17.867943244054914,29,1.144136905670166
0,357,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_357,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.04162399470806122, 0.687506914138794, 0.513352632522583, 0.7691986560821533, 0.631033182144165, 0.651279091835022, 0.7360324263572693, 0.6769746541976929, 0.6455971002578735, 0.6882383227348328, 0.6399218440055847, 0.6317062377929688, 0.6184470653533936, 0.6285229325294495, 0.6280120015144348, 0.6222065687179565, 0.6047822833061218, 0.5996068120002747, 0.7028680443763733, 0.3085613250732422]",12.025472089648247,4,0.7691986560821533
0,420,0_330_338_154_174_364_178_180_337_182_187_189_191_396_205_257_420,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0)]","[0.12829631567001343, 0.6354281306266785, 0.5946669578552246, 0.6825891137123108, 0.6370633244514465, 0.653282105922699, 0.25084054470062256, 0.6056550145149231, 0.6556881666183472, 0.12204791605472565, 0.7416219115257263, 0.5651473999023438, 0.16203045845031738, 0.679551362991333, 0.7047194242477417, 0.843532919883728]",8.662161067128181,16,0.843532919883728
1,9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,117,0.011897498474679682,1.0,117,0.011897498474679682,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(7)]","[0.860362708568573, 0.5505886077880859, 0.7813553214073181, 0.6108210682868958, 0.6198112368583679, 0.7417652606964111, 0.642265260219574, 0.6384667754173279, 0.6989069581031799, 0.6408980488777161, 0.6525186896324158, 0.5930448174476624, 0.6822777986526489, 0.7246606945991516, 0.786470353603363]",10.224213600158691,1,0.860362708568573
1,31,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_340_32_309_311_31,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(7), np.int64(0), np.int64(7), np.int64(6), np.int64(0)]","[0.5979570746421814, 0.3998148739337921, 0.6915743947029114, 0.5486675500869751, 0.64771568775177, 0.7030625343322754, 0.6873490810394287, 0.46225491166114807, 0.6606789231300354, 0.6533642411231995, 0.5748906135559082, 0.6042609214782715, 0.4615170657634735, 0.6517989039421082, 0.5982711911201477, 0.5308271050453186, 0.5611047744750977, 0.6696223020553589, 0.5920347571372986, 0.415068119764328, 0.6278883218765259, 0.10521426796913147, 0.8068902492523193, 0.7093219757080078]",13.961149841547012,23,0.8068902492523193
