Iteration,Elapsed Time,Training Loss,Training Edit Distance,Testing Edit Distance,Training BLEU Score,Testing BLEU Score,Training JS Distance,Testing JS Distance
1,4.572977066040039,0.057736780676709946,0.0629341080223878,0.06630659364622533,0.9417384998959959,0.9369556910560407,0.08763167145052514,0.09712306781305058
10,2008.7943420410156,0.021269492815394964,0.025502835703528435,0.028774036911601412,0.9721676955865951,0.966997347543143,0.04511480847513128,0.058425386409444814
20,4164.867468833923,0.018520102820859998,0.022360014529707907,0.025288385721609612,0.975778711246301,0.9715592368702192,0.043187203299830154,0.05326654735830144
30,6399.601760149002,0.017270948133405125,0.02315781433328827,0.025166957164794185,0.9757713612378777,0.971995245863276,0.04479653242812411,0.05327615018546395
40,11116.91625881195,0.016459173796697764,0.02528680048228968,0.02858165447702813,0.9745911701359565,0.9689284239727062,0.042750200827220815,0.05915554888078446
50,16826.109177827835,0.01647763594027607,0.022849956212972488,0.026306715308990633,0.977145302988024,0.9711033288657196,0.04122905168999743,0.0565053430858597
60,22960.859333992004,0.01638029175040638,0.021289240459465807,0.02650644364153125,0.9778403800055657,0.9708932313881872,0.04015404944501975,0.05658733535994701
70,29349.353272914886,0.015686912112257523,0.01880852828834896,0.02341046681057014,0.9798661329944583,0.9740399603052496,0.035722524747697555,0.050012112954217015
80,33814.442224025726,0.015526519705644854,0.025469798187739156,0.027100325568435356,0.9740379995242286,0.9697411925714775,0.04133297458027488,0.056640532616357715
