Iteration,Elapsed Time,Value Loss,Policy Loss,Edit Distance,Best Edit Distance
10,54.018426179885864,552005.0622558594,-1.5731762750074267,0.6832967959030644,0.6832967959030644
20,110.28719902038574,176924.05130004883,-0.5006444482132792,0.31791712626485996,0.31791712626485996
30,166.57186007499695,308665.97369384766,-1.8669721633195877,0.3708337416596056,0.31791712626485996
40,222.9324140548706,227375.54708862305,-0.44812746718525887,0.36125284834731564,0.31791712626485996
50,279.7416751384735,227555.74224853516,-1.334814545698464,0.4179214191003089,0.31791712626485996
60,336.7696361541748,310393.3380126953,-2.5686477348208427,0.40515427347489935,0.31791712626485996
70,460.1335942745209,184546.08346557617,-0.8570489659905434,0.42627373469956287,0.31791712626485996
80,551.8684322834015,488873.2116699219,-3.8935395213775337,0.5033382612535003,0.31791712626485996
90,605.3694541454315,102751.8529663086,-1.463422236032784,0.4693405694934829,0.31791712626485996
100,758.0597851276398,214853.83123779297,-1.4454174670390785,0.5620834036751134,0.31791712626485996
110,823.2449851036072,123285.51794433594,-0.5057370522990823,0.4901862932285637,0.31791712626485996
120,874.7784602642059,340361.25213623047,-1.7697061598300934,0.5415663196948949,0.31791712626485996
130,997.3888051509857,214040.60290527344,-1.7357736323028803,0.47544513144792155,0.31791712626485996
140,1194.0293209552765,275578.7858276367,-1.1083082924596965,0.5020334749854631,0.31791712626485996
150,1377.9609951972961,382372.71936035156,-1.4357284740544856,0.4838908633333317,0.31791712626485996
160,1459.236379146576,704333.2520751953,-2.106087171472609,0.6883356780406675,0.31791712626485996
170,1510.2402412891388,253577.06811523438,-1.3798324512317777,0.6277232162857765,0.31791712626485996
180,1563.227921962738,312527.1764526367,-2.1188160590827465,0.5090493979740099,0.31791712626485996
190,1631.4148001670837,359001.3885498047,-1.6081808204762638,0.517638001968628,0.31791712626485996
200,1702.1608290672302,715717.3264160156,-2.256307982839644,0.6356619500157532,0.31791712626485996
210,1770.5946192741394,389923.4514160156,-1.8219140199944377,0.5570710328637634,0.31791712626485996
220,1838.41286611557,379522.8618774414,-1.9312742482870817,0.5096581775776691,0.31791712626485996
230,1907.363004207611,338871.23303222656,-1.5774827469140291,0.5918984266566986,0.31791712626485996
240,1976.886360168457,237578.5245361328,-2.151964598800987,0.5772176597092461,0.31791712626485996
250,2051.8156332969666,270040.4501953125,-1.8775911992415786,0.6262643390561576,0.31791712626485996
260,2124.3581891059875,259371.66082763672,-1.5020887539722025,0.6353681010191687,0.31791712626485996
270,2198.6756632328033,439143.0728149414,-1.437100438401103,0.6349596173175972,0.31791712626485996
280,2271.430953025818,175819.93713378906,-1.4422997888177633,0.5951009174239135,0.31791712626485996
290,2341.979415178299,181264.1689453125,-1.842040161602199,0.7558550437706875,0.31791712626485996
300,2413.818865299225,283917.0250854492,-1.7489138538949192,0.6164474697905937,0.31791712626485996
310,2486.596164226532,184269.0604248047,-1.269483556970954,0.6558584510450846,0.31791712626485996
320,2558.855047941208,124740.46060180664,-1.1282850932329893,0.6093692298015214,0.31791712626485996
330,2632.1571221351624,163692.8003540039,-2.5428180429153144,0.7568239088193762,0.31791712626485996
340,2704.5874061584473,627415.5112304688,-1.8555311784148216,0.6253286325244514,0.31791712626485996
350,2777.1348741054535,273895.01287841797,-1.529893477447331,0.5815286888298017,0.31791712626485996
360,2849.187730073929,364055.0554199219,-3.1855146382004023,0.6944405635818823,0.31791712626485996
370,2922.5816390514374,154458.3056640625,-0.8329724171198905,0.49419726558586297,0.31791712626485996
380,2997.135332107544,328174.63671875,-1.7883668690919876,0.5303313046705102,0.31791712626485996
390,3071.0214042663574,395932.21282958984,-1.6061463374644518,0.4710738734611692,0.31791712626485996
400,3145.23064827919,299968.6354980469,-1.4174216920509934,0.5891294849526351,0.31791712626485996
410,3218.783275127411,201428.04833984375,-0.9829099029302597,0.573224934475804,0.31791712626485996
420,3293.946704149246,270254.1311645508,-1.1366622319910675,0.5182322284881586,0.31791712626485996
430,3366.854863166809,1055540.0634765625,-3.567297564353794,0.5092650371185958,0.31791712626485996
440,3440.7647471427917,193424.18502807617,-2.1551502905786037,0.6288703043304201,0.31791712626485996
450,3514.65487909317,439510.6033935547,-2.212701986078173,0.5599473858687299,0.31791712626485996
460,3589.573422193527,625295.3442382812,-2.3411019667983055,0.6129491137231059,0.31791712626485996
470,3663.2014741897583,438820.82556152344,-1.653045775834471,0.5953954384436259,0.31791712626485996
480,3737.3741941452026,350661.4736328125,-1.9109339397400618,0.6096988823723309,0.31791712626485996
490,3810.954128265381,357952.44244384766,-2.013949180021882,0.6024291250447487,0.31791712626485996
500,3886.0572690963745,183823.90338134766,-1.3734867773018777,0.6355270804859686,0.31791712626485996
510,3959.6022651195526,296462.60528564453,-1.5747835133224726,0.5776546151288782,0.31791712626485996
520,4033.7063612937927,242645.01727294922,-1.2096479311585426,0.5681085431637589,0.31791712626485996
530,4106.985005140305,309187.076171875,-1.4818842047825456,0.5687004220600155,0.31791712626485996
540,4181.995729207993,139504.68740844727,-1.4120239014737308,0.6196874841469466,0.31791712626485996
550,4255.792208194733,649706.3369140625,-3.50074746273458,0.5830692106050804,0.31791712626485996
560,4319.327318191528,171908.8617553711,-1.7249720427207649,0.7354946002965199,0.31791712626485996
570,4367.307313203812,171226.38986206055,-1.1621646070852876,0.5807045123849893,0.31791712626485996
580,4411.138022184372,290626.6414794922,-2.284215989522636,0.5827696918422222,0.31791712626485996
590,4455.444662094116,108233.79531860352,-0.7601482160389423,0.6188229775305123,0.31791712626485996
600,4499.5697700977325,176846.5821533203,-1.5471516260877252,0.6497322553681953,0.31791712626485996
610,4543.592497348785,113596.84812927246,-1.0850666305050254,0.564592697494644,0.31791712626485996
620,4587.678047180176,313702.71405029297,-1.6441401476040483,0.6665430160325059,0.31791712626485996
630,4631.9776310920715,76399.75210571289,-1.898961471277289,0.5914596067438056,0.31791712626485996
640,4675.766439199448,450393.05194091797,-3.4544859239831567,0.7118942555579256,0.31791712626485996
650,4720.356438159943,228236.81982421875,-1.5696306573227048,0.5469050152928733,0.31791712626485996
660,4764.509558200836,913902.4336547852,-7.28489625453949,0.6503492049134585,0.31791712626485996
670,4808.782164096832,312890.4696044922,-2.944876639172435,0.6856496704816407,0.31791712626485996
680,4853.758221149445,260433.25088500977,-1.6767630679532886,0.6435341475649454,0.31791712626485996
